MOQ,MOQ LIMITED
1PG,1-PAGE LIMITED
ONT,1300 SMILES LIMITED
1ST,1ST GROUP LIMITED
T3D,333D LIMITED
TGP,360 CAPITAL GROUP
TOT,360 CAPITAL TOTAL RETURN FUND
TDO,3D OIL LIMITED
DDD,3D RESOURCES LIMITED
3PL,3P LEARNING LIMITED..
4DS,4DS MEMORY LIMITED
5GN,5G NETWORKS LIMITED
88E,88 ENERGY LIMITED
8CO,8COMMON LIMITED
8IH,8I HOLDINGS LTD
8EC,8IP EMERGING COMPANIES LIMITED
9SP,9 SPOKES INTERNATIONAL LIMITED
NNW,99 WUXIAN LIMITED
ACB,A-CAP RESOURCES LIMITED
ARI,A.C.N. 004 410 833 LIMITED
AYI,A1 INVESTMENTS & RESOURCES LTD
ABP,ABACUS PROPERTY GROUP
ALR,ABERDEEN LEADERS LIMITED
ABL,ABILENE OIL AND GAS LIMITED
ABU,ABM RESOURCES NL
AEG,ABSOLUTE EQUITY PERFORMANCE FUND LIMITED
ABT,ABUNDANT PRODUCE LIMITED
AJC,ACACIA COAL LIMITED
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED
AX8,ACCELERATE RESOURCES LIMITED
AX1,ACCENT GROUP LIMITED
ACS,ACCENT RESOURCES NL
ACX,ACONEX LIMITED
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED
ACR,ACRUX LIMITED
ACW,ACTINOGEN MEDICAL LIMITED
AIV,ACTIVEX LIMITED
ACU,ACTIVISTIC LIMITED
ADA,ADACEL TECHNOLOGIES LIMITED
ADH,ADAIRS LIMITED
1AD,ADALTA LIMITED
ADD,ADAVALE RESOURCES LIMITED
AAU,ADCORP AUSTRALIA LIMITED
ABC,ADELAIDE BRIGHTON LIMITED
ADR,ADHERIUM LIMITED
AHZ,ADMEDUS LTD
ADY,ADMIRALTY RESOURCES NL.
ADT,ADRIATIC METALS PLC
ADJ,ADSLOT LTD
ANO,ADVANCE NANOTEK LIMITED
ABV,ADVANCED BRAKING TECHNOLOGY LTD
ASW,ADVANCED SHARE REGISTRY LIMITED
ADX,ADX ENERGY LTD
AER,AEERIS LTD
AML,AEON METALS LIMITED.
AEI,AERIS ENVIRONMENTAL LTD
AIS,AERIS RESOURCES LIMITED
AFR,AFRICAN ENERGY RESOURCES LIMITED
AFT,AFT CORPORATION LIMITED
AFP,AFT PHARMACEUTICALS LIMITED
APT,AFTERPAY TOUCH GROUP LIMITED
AGL,AGL ENERGY LIMITED.
AGJ,AGRICULTURAL LAND TRUST
AMN,AGRIMIN LIMITED
AGR,AGUIA RESOURCES LIMITED
AHL,AHALIFE HOLDINGS LIMITED
A1C,AIC RESOURCES LIMITED
APW,AIMS PROPERTY SECURITIES FUND
AGI,AINSWORTH GAME TECHNOLOGY LIMITED
AIZ,AIR NEW ZEALAND LIMITED
AXP,"AIRXPANDERS, INC."
AJL,AJ LUCAS GROUP LIMITED
AQG,ALACER GOLD CORP.
AUQ,ALARA RESOURCES LIMITED
ACL,ALCHEMIA LIMITED
ALY,ALCHEMY RESOURCES LIMITED
ALC,ALCIDION GROUP LIMITED
